Al	13	37	0.0107	B-
Al	13	38	0.0076	B-
Al	13	39	0.0076	B-
Al	13	40	2.6e-07	B-
Al	13	41	2.6e-07	B-
Al	13	42	1.7e-07	B-
Al	13	43	1.7e-07	B-
Si	14	22	0.029	EC
Si	14	23	0.0423	EC
Si	14	24	0.141	EC
Si	14	25	0.22	EC
Si	14	26	2.23	EC
Si	14	27	4.15	EC
Si	14	28	inf	None
Si	14	29	inf	None
Si	14	30	inf	None
Si	14	31	9440.0	B-
Si	14	32	4830000000.0	B-
Si	14	33	6.11	B-
Si	14	34	2.77	B-
Si	14	35	0.78	B-
Si	14	36	0.45	B-
Si	14	37	0.09	B-
Si	14	38	1e-06	B-
Si	14	39	0.0475	B-
Si	14	40	0.033	B-
Si	14	41	0.02	B-
Si	14	42	0.0125	B-
Si	14	43	6e-08	B-
Si	14	44	3.6e-07	B-
Si	14	45	0.0	B-
P	15	24	0.0	EC
P	15	25	3e-08	P
P	15	26	0.0437	EC
P	15	27	0.26	EC
P	15	28	0.27	EC
P	15	29	4.14	EC
P	15	30	150.0	EC
P	15	31	inf	None
P	15	32	1230000.0	B-
P	15	33	2190000.0	B-
P	15	34	12.4	B-
P	15	35	47.3	B-
P	15	36	5.6	B-
P	15	37	2.31	B-
P	15	38	0.64	B-
P	15	39	0.28	B-
P	15	40	0.125	B-
P	15	41	0.1	B-
P	15	42	0.0485	B-
P	15	43	0.0365	B-
P	15	44	0.0185	B-
P	15	45	2e-07	B-
P	15	46	2e-07	B-
P	15	47	0.0	B-
S	16	26	7.9e-08	2P
S	16	27	0.0155	EC
S	16	28	0.125	EC
S	16	29	0.187	EC
S	16	30	1.18	EC
S	16	31	2.57	EC
S	16	32	inf	None
S	16	33	inf	None
S	16	34	inf	None
S	16	35	7550000.0	B-
S	16	36	inf	None
S	16	37	303.0	B-
S	16	38	10200.0	B-
S	16	39	11.5	B-
S	16	40	8.8	B-
S	16	41	1.99	B-
S	16	42	1.03	B-
S	16	43	0.28	B-
S	16	44	0.1	B-
S	16	45	0.068	B-
S	16	46	0.05	B-
S	16	47	0.0	B-
S	16	48	2e-07	B-
S	16	49	2e-07	N
Cl	17	28	0.0	P
Cl	17	29	2e-08	P
Cl	17	30	3e-08	P
Cl	17	31	0.15	EC
Cl	17	32	0.298	EC
Cl	17	33	2.51	EC
Cl	17	34	1.53	EC
Cl	17	35	inf	None
Cl	17	36	9500000000000.0	B-
Cl	17	37	inf	None
Cl	17	38	2230.0	B-
Cl	17	39	3370.0	B-
Cl	17	40	81.0	B-
Cl	17	41	38.4	B-
Cl	17	42	6.8	B-
Cl	17	43	3.13	B-
Cl	17	44	0.56	B-
